,Mass,Radius,Temperature,Density,Luminosity,Hydrogen,Opacity,Pressure,Velocity
348,6.924286112006943e+32,14592480054.476088,8508078.251469966,34.01310223913866,2.017710362981623e+33,0.7286862739638575,2.859543101414303,3.96257939427898e+16,4.104349100379351e-12
349,6.94418348589202e+32,14614308958.72589,8499817.612706406,33.91288926239256,2.0188682844409765e+33,0.7287109929635907,2.8646407714833395,3.947142079018962e+16,4.074149126502031e-12
350,6.964080859777097e+32,14636137063.519995,8491557.204833932,33.812883471067515,2.0200177204263748e+33,0.7287355504085369,2.869675728578401,3.931750575452295e+16,4.04414287373162e-12
351,6.983978233662175e+32,14657964525.137989,8483334.490344137,33.713700525014225,2.021158746814082e+33,0.7287599469643334,2.8746397536754404,3.9164936382270856e+16,4.014484177518409e-12
352,7.003875607547252e+32,14679791101.02475,8475112.343647158,33.61471814397855,2.0222914388372434e+33,0.7287841832991688,2.879541303275667,3.901281539735415e+16,3.985015410971049e-12
353,7.02377298143233e+32,14701616948.93668,8466890.970830955,33.51593518957741,2.0234158493839518e+33,0.7288082598334853,2.8843801929370296,3.886114181812168e+16,3.955735874230507e-12
354,7.043670355317407e+32,14723442226.552717,8458670.589914445,33.41735210475412,2.0245320311810966e+33,0.7288321757762631,2.889156357771056,3.8709916507385896e+16,3.926645067377619e-12
355,7.063567729202484e+32,14745267090.458208,8450451.393026141,33.318965197968424,2.0256400367555716e+33,0.7288559335315492,2.8938694202352693,3.855913550455776e+16,3.8977419605323165e-12
356,7.083465103087562e+32,14767091698.85509,8442233.58327151,33.2207730418612,2.0267399183923775e+33,0.7288795337766503,2.898519180462198,3.840879747142918e+16,3.869025802670799e-12
357,7.10336247697264e+32,14788916210.106377,8434017.363418205,33.12277422076531,2.02783172817479e+33,0.7289029771909826,2.9031054416605886,3.82589010768026e+16,3.840495839679006e-12
358,7.123259850857716e+32,14810740782.745323,8425802.935896922,33.024967330660644,2.0289155179833757e+33,0.7289262644559878,2.9076280101072824,3.8109444996451896e+16,3.812151314453317e-12
