,Mass,Radius,Temperature,Density,Luminosity,Hydrogen,Opacity,Convection,Pressure,Velocity
104,1.429243938914756e+29,723840000.0,14490894.704497555,89.89741086993831,2.4567162240099486e+30,0.732,1.4481892410178339,0.0,1.7882477201577238e+17,1.1982144742618668e-10
105,1.4708361813852147e+29,730800000.0,14490527.758198172,89.89396422400641,2.5279524162240225e+30,0.732,1.4482419552749,0.0,1.7881338779108586e+17,1.1980124191204555e-10
106,1.5132266222484141e+29,737760000.0,14490153.799299588,89.89050622872209,2.600543367229571e+30,0.732,1.4482963162908864,0.0,1.7880189480625373e+17,1.197807272149737e-10
107,1.5564228009856902e+29,744720000.0,14489779.833398499,89.88699342786923,2.674501404333044e+30,0.732,1.4483500435955237,0.0,1.7879029307868314e+17,1.1976014353220278e-10
108,1.6004322552998162e+29,751680000.0,14489398.857272398,89.88346927259093,2.749838838724533e+30,0.732,1.4484054173856769,0.0,1.7877858263155562e+17,1.1973925106474465e-10
109,1.6452625211024544e+29,758640000.0,14489017.87389201,89.87989032416563,2.826567965316407e+30,0.732,1.4484601576942429,0.0,1.7876676348261024e+17,1.1971828979885745e-10
110,1.6909211324931023e+29,765600000.0,14488629.882704804,89.87630001615457,2.904701062623317e+30,0.732,1.4485165442097685,0.0,1.7875483565546368e+17,1.1969702015353294e-10
111,1.7374156217467895e+29,772560000.0,14488241.88400714,89.87265492765212,2.9842503926003104e+30,0.732,1.4485722974776927,0.0,1.787427991681869e+17,1.196756819002739e-10
112,1.7847535192927833e+29,779520000.0,14487846.879964797,89.86899847431677,3.065228200524624e+30,0.732,1.4486296966688759,0.0,1.7873065404483146e+17,1.1965403567980544e-10
113,1.8329423537025397e+29,786480000.0,14487451.868151432,89.86528725337978,3.147646714833248e+30,0.732,1.4486864628506693,0.0,1.7871840030380003e+17,1.1963232104510538e-10
114,1.8819896516681612e+29,793440000.0,14487049.853499418,89.86156466227628,3.2315181470065494e+30,0.732,1.448744874666882,0.0,1.7870603796957885e+17,1.1961029886237254e-10
115,1.9319029379906097e+29,800400000.0,14486647.830811432,89.857787316695,3.316854691405259e+30,0.732,1.4488026537161396,0.0,1.7869356706090224e+17,1.195882084623034e-10
